Span_w,Root_Chord_w,Tip_Chord_w,Span_e,Root_Chord_e,Span_f,Root_Chord_f,Tip_Chord_f,X_f,aoa,cl,cd,eff,cl/cd,cm,xcp
2.112,0.199,0.066,0.447,0.184,0.253,0.184,0.072,0.34,4,0.772,0.012,0.985,63.92,-0.417,0.077
2,0.185,0.058,0.334,0.158,0.204,0.158,0.077,0.718,4,0.775,0.012,0.982,65.551,-0.484,0.083
2.085,0.198,0.064,0.437,0.165,0.243,0.165,0.078,0.434,4,0.774,0.012,0.973,62.884,-0.438,0.081
2.125,0.179,0.079,0.302,0.191,0.228,0.191,0.06,0.418,4,0.8,0.009,0.946,90.033,-0.413,0.07
2.392,0.193,0.065,0.431,0.186,0.232,0.186,0.069,0.44,4,0.79,0.01,1.064,78.503,-0.325,0.078
3.319,0.192,0.062,0.32,0.18,0.235,0.18,0.084,0.79,4,0.087,0.009,0.922,93.835,-0.462,0.081
2.566,0.188,0.078,0.381,0.158,0.238,0.158,0.081,0.329,4,0.784,0.01,0.975,75.332,-0.396,0.071
2.228,0.17,0.058,0.375,0.181,0.255,0.181,0.085,0.296,4,0.779,0.011,0.99,69.256,-0.383,0.066
2.697,0.195,0.076,0.423,0.189,0.214,0.189,0.088,0.651,4,0.796,0.011,0.945,74.265,-0.481,0.087
2.305,0.19,0.066,0.47,0.136,0.209,0.136,0.078,0.696,4,0.818,0.009,0.953,87.182,-0.567,0.084
2.014,0.159,0.071,0.415,0.16,0.232,0.16,0.067,0.74,4,0.797,0.017,0.092,47.762,-0.603,0.091
2.499,0.188,0.062,0.379,0.183,0.221,0.183,0.073,0.796,4,0.793,0.011,0.954,74.02,-0.521,0.089
2.807,0.182,0.077,0.351,0.163,0.204,0.163,0.08,0.473,4,0.783,0.012,0.817,64.614,-0.428,0.073
2.6,0.188,0.058,0.435,0.192,0.272,0.192,0.076,0.734,4,0.798,0.011,0.963,75.247,-0.554,0.093
2.188,0.191,0.073,0.498,0.198,0.226,0.198,0.085,0.312,4,0.781,0.011,1.02,67.977,-0.425,0.074
2.527,0.186,0.059,0.464,0.165,0.22,0.165,0.07,0.373,4,0.795,0.008,1.215,94.216,-0.531,0.075
2.065,0.156,0.06,0.458,0.163,0.218,0.163,0.058,0.396,4,0.808,0.011,0.986,73.31,-0.506,0.072
2.651,0.2,0.077,0.409,0.163,0.244,0.163,0.082,0.496,4,0.787,0.011,0.976,74.549,-0.431,0.081
2.216,0.195,0.07,0.385,0.188,0.247,0.188,0.063,0.49,4,0.775,0.012,0.974,66.325,-0.436,0.077
2.032,0.179,0.067,0.49,0.166,0.214,0.166,0.063,0.323,4,0.785,0.013,0.949,62.777,-0.432,0.07
2.509,0.179,0.066,0.492,0.13,0.202,0.13,0.086,0.59,4,0.8,0.011,0.921,71.181,-0.498,0.083
2.378,0.19,0.056,0.419,0.169,0.23,0.169,0.066,0.357,4,0.79,0.01,1.06,81.447,-0.434,0.074
2.61,0.194,0.074,0.466,0.189,0.23,0.189,0.086,0.384,4,0.794,0.01,1.061,81.749,-0.435,0.078
2.141,0.166,0.057,0.476,0.153,0.201,0.153,0.068,0.457,4,0.802,0.011,0.994,72.528,-0.416,0.077
2.707,0.199,0.07,0.484,0.152,0.22,0.152,0.073,0.634,4,0.796,0.01,1.054,82.628,-0.479,0.088
2.003,0.166,0.057,0.407,0.141,0.2,0.141,0.059,0.523,4,0.791,0.011,0.965,68.878,-0.493,0.075
2.198,0.177,0.06,0.5,0.162,0.226,0.162,0.075,0.568,4,0.798,0.011,1.021,71.423,-0.524,0.086
2.335,0.165,0.069,0.328,0.179,0.249,0.179,0.07,0.362,4,0.793,0.011,0.932,73.695,-0.429,0.067
2.574,0.192,0.065,0.403,0.183,0.246,0.183,0.072,0.757,4,0.792,0.011,0.947,71.904,-0.493,0.089
2.432,0.178,0.068,0.46,0.164,0.242,0.164,0.074,0.751,4,0.798,0.012,0.905,66.939,-0.542,0.092
2.17,0.166,0.069,0.427,0.139,0.205,0.139,0.086,0.834,4,0.799,0.012,0.913,66.355,-0.594,0.092
2.473,0.177,0.078,0.389,0.173,0.242,0.173,0.071,0.401,4,0.782,0.011,0.961,69.607,-0.407,0.073
2.306,0.167,0.07,0.494,0.2,0.23,0.2,0.067,0.679,4,0.816,0.011,0.955,71.567,-0.624,0.096
2.336,0.183,0.063,0.449,0.141,0.203,0.141,0.083,0.84,4,0.797,0.011,0.928,69.507,-0.56,0.093
2.624,0.2,0.062,0.365,0.165,0.238,0.165,0.079,0.462,4,0.786,0.011,0.963,74.618,-0.423,0.078
2.072,0.177,0.08,0.316,0.172,0.228,0.172,0.079,0.29,4,0.768,0.012,0.993,66.401,-0.39,0.068
2.366,0.173,0.078,0.425,0.165,0.24,0.165,0.086,0.723,4,0.797,0.01,1.062,78.886,-0.534,0.088
2.148,0.179,0.072,0.373,0.174,0.232,0.174,0.065,0.657,4,0.784,0.011,1.025,70.279,-0.494,0.084
2.291,0.184,0.059,0.472,0.162,0.211,0.162,0.089,0.668,4,0.798,0.011,0.936,69.438,-0.534,0.088
2.404,0.197,0.076,0.405,0.151,0.212,0.151,0.076,0.612,4,0.781,0.011,0.987,69.983,-0.449,0.084
2.36,0.168,0.071,0.363,0.177,0.217,0.177,0.072,0.662,4,0.798,0.011,0.955,74.262,-0.511,0.081
2.222,0.199,0.068,0.324,0.156,0.215,0.156,0.082,0.501,4,0.769,0.012,0.982,66.71,-0.416,0.078
2.456,0.175,0.077,0.48,0.161,0.209,0.161,0.083,0.701,4,0.806,0.012,0.896,68.127,-0.558,0.092
2.602,0.199,0.069,0.353,0.175,0.234,0.175,0.066,0.407,4,0.781,0.011,0.95,71.781,-0.406,0.077
2.344,0.169,0.068,0.367,0.194,0.238,0.194,0.084,0.64,4,0.799,0.011,0.959,74.117,-0.514,0.081
2.499,0.184,0.064,0.478,0.153,0.23,0.153,0.079,0.334,4,0.789,0.011,0.975,73.063,-0.412,0.073
2.263,0.192,0.071,0.482,0.176,0.223,0.176,0.065,0.801,4,0.793,0.012,0.968,65.965,-0.564,0.1
2.62,0.2,0.058,0.336,0.178,0.248,0.178,0.076,0.307,4,0.781,0.009,1.048,83.543,-0.398,0.073
2.206,0.194,0.06,0.399,0.179,0.202,0.179,0.08,0.584,4,0.802,0.01,1.108,84.023,-0.408,0.08
2.477,0.187,0.056,0.421,0.186,0.253,0.186,0.072,0.829,4,0.8,0.011,0.962,75.274,-0.556,0.094
2.046,0.168,0.07,0.344,0.195,0.27,0.195,0.075,0.601,4,0.787,0.012,0.978,67.158,-0.5,0.08
2.705,0.196,0.061,0.322,0.194,0.257,0.194,0.074,0.301,4,0.782,0.01,1.017,80.622,-0.391,0.073
2.368,0.183,0.063,0.377,0.197,0.222,0.197,0.059,0.423,4,0.784,0.011,0.973,70.014,-0.428,0.075
2.396,0.195,0.073,0.369,0.167,0.224,0.167,0.062,0.54,4,0.771,0.012,0.983,65.438,-0.416,0.082
2.347,0.182,0.063,0.391,0.168,0.25,0.168,0.082,0.573,4,0.794,0.011,0.972,73.674,-0.418,0.08
2.424,0.167,0.073,0.304,0.152,0.207,0.152,0.08,0.707,4,0.787,0.01,1.06,82.139,-0.459,0.076
2.687,0.188,0.079,0.454,0.186,0.249,0.186,0.064,0.812,4,0.796,0.011,0.971,73.053,-0.52,0.096
2.481,0.184,0.077,0.443,0.196,0.233,0.196,0.064,0.673,4,0.799,0.01,1.085,81.035,-0.522,0.09
2.057,0.196,0.057,0.371,0.178,0.246,0.178,0.069,0.562,4,0.779,0.01,1.074,70.684,-0.685,0.122
2.096,0.164,0.075,0.346,0.159,0.21,0.159,0.066,0.368,4,0.782,0.011,1.015,71.518,-0.423,0.067
2.7,0.196,0.075,0.355,0.165,0.224,0.165,0.073,0.762,4,0.79,0.008,1.232,97.615,-0.345,0.086
2.358,0.192,0.063,0.474,0.199,0.242,0.199,0.065,0.479,4,0.796,0.011,0.951,69.369,-0.483,0.084
2.283,0.185,0.061,0.433,0.174,0.245,0.174,0.078,0.712,4,0.796,0.012,0.911,66.689,-0.539,0.09
2.112,0.164,0.074,0.441,0.15,0.202,0.15,0.068,0.468,4,0.794,0.012,0.955,67.348,-0.481,0.075
2.172,0.19,0.073,0.318,0.18,0.242,0.18,0.069,0.529,4,0.772,0.012,0.98,65.843,-0.43,0.078
2.444,0.187,0.064,0.488,0.193,0.251,0.193,0.063,0.512,4,0.805,0.011,0.934,71.054,-0.507,0.085
2.244,0.187,0.074,0.401,0.184,0.23,0.184,0.061,0.629,4,0.785,0.011,1.056,72.636,-0.438,0.086
2.514,0.186,0.071,0.411,0.166,0.2,0.166,0.061,0.551,4,0.793,0.01,1.008,76.919,-0.464,0.081
2.018,0.198,0.078,0.33,0.186,0.216,0.186,0.062,0.579,4,0.761,0.012,1.008,60.901,-0.431,0.083
2.075,0.169,0.08,0.462,0.189,0.211,0.189,0.062,0.684,4,0.796,0.012,0.996,65.55,-0.577,0.094
2.64,0.181,0.072,0.312,0.192,0.248,0.192,0.087,0.429,4,0.777,0.012,0.969,67.055,-0.314,0.073
2.006,0.157,0.064,0.439,0.19,0.236,0.19,0.08,0.507,4,0.809,0.012,0.97,68.448,-0.564,0.082
2.546,0.198,0.06,0.387,0.193,0.254,0.193,0.074,0.607,4,0.795,0.011,0.963,74.972,-0.486,0.086
2.301,0.184,0.072,0.397,0.2,0.2,0.2,0.071,0.729,4,0.782,0.011,1.022,68.504,-0.494,0.09
2.152,0.155,0.062,0.314,0.175,0.25,0.175,0.083,0.518,4,0.797,0.011,0.953,74.57,-0.486,0.07
2.149,0.173,0.079,0.306,0.177,0.208,0.177,0.06,0.807,4,0.778,0.012,0.939,64.69,-0.372,0.083
2.317,0.165,0.079,0.429,0.155,0.241,0.155,0.09,0.451,4,0.791,0.014,0.801,57.838,-0.407,0.074
2.442,0.152,0.072,0.383,0.186,0.236,0.186,0.085,0.618,4,0.783,0.011,0.958,68.947,-0.335,0.085
2.255,0.192,0.059,0.417,0.174,0.247,0.174,0.077,0.746,4,0.782,0.014,0.82,54.616,-0.509,0.092
2.378,0.176,0.069,0.332,0.174,0.241,0.174,0.07,0.546,4,0.791,0.011,0.917,70.696,-0.34,0.076
2.228,0.19,0.059,0.468,0.15,0.202,0.15,0.077,0.823,4,0.786,0.012,0.962,64.422,-0.54,0.097
2.3,0.179,0.067,0.486,0.164,0.243,0.164,0.084,0.412,4,0.789,0.012,0.945,66.675,-0.404,0.076
2.422,0.181,0.075,0.496,0.149,0.213,0.149,0.088,0.346,4,0.781,0.011,0.989,69.485,-0.401,0.073
2.612,0.2,0.061,0.34,0.185,0.22,0.185,0.066,0.773,4,0.783,0.009,1.161,86.475,-0.405,0.087
2.376,0.195,0.067,0.456,0.188,0.21,0.188,0.06,0.69,4,0.787,0.012,0.956,64.943,-0.499,0.093
2,0.163,0.076,0.393,0.177,0.212,0.177,0.064,0.534,4,0.788,0.013,0.934,62.313,-0.498,0.079
2.39,0.17,0.075,0.395,0.173,0.214,0.173,0.068,0.784,4,0.8,0.01,1.01,77.442,-0.416,0.088
2.384,0.171,0.08,0.361,0.181,0.246,0.181,0.088,0.779,4,0.794,0.011,0.939,70.614,-0.524,0.086
2.339,0.177,0.065,0.326,0.146,0.206,0.146,0.09,0.484,4,0.787,0.011,0.93,71.74,-0.437,0.072
2.131,0.174,0.057,0.308,0.142,0.216,0.142,0.081,0.39,4,0.78,0.011,0.971,72.124,-0.42,0.067
2.036,0.167,0.068,0.359,0.174,0.256,0.174,0.081,0.351,4,0.784,0.011,1.047,72.688,-0.434,0.069
2.258,0.198,0.076,0.3,0.187,0.227,0.187,0.089,0.379,4,0.767,0.012,0.944,63.661,-0.397,0.075
2.311,0.189,0.065,0.357,0.157,0.239,0.157,0.087,0.557,4,0.783,0.011,0.972,71,-0.448,0.078
2.234,0.153,0.072,0.338,0.188,0.253,0.188,0.075,0.623,4,0.801,0.011,0.932,72.525,-0.528,0.077
2.028,0.199,0.074,0.31,0.16,0.219,0.16,0.071,0.818,4,0.761,0.013,0.985,60.434,-0.456,0.087
2.103,0.193,0.067,0.445,0.182,0.239,0.182,0.059,0.596,4,0.782,0.012,0.965,62.711,-0.494,0.088
2.212,0.161,0.064,0.342,0.171,0.256,0.171,0.087,0.768,4,0.765,0.012,0.992,61.735,-0.459,0.089
2.489,0.186,0.056,0.413,0.177,0.262,0.177,0.089,0.646,4,0.802,0.01,0.998,80.352,-0.5274,0.086
2.8,0.178,0.066,0.452,0.158,0.224,0.158,0.067,0.318,4,0.809,0.009,0.945,85.011,-0.321,0.069
2.669,0.172,0.061,0.348,0.176,0.29,0.176,0.061,0.446,4,0.803,0.01,0.91,81.57,-0.331,0.071
